Trade No,Type,Date/Time
1,Entry Short,2026-05-25 12:25
1,Exit Short,2026-05-25 13:15
2,Entry Short,2026-05-25 14:15
2,Exit Short,2026-05-25 14:20
3,Entry Long,2026-05-25 14:35
3,Exit Long,2026-05-25 15:15
4,Entry Long,2026-05-26 09:20
4,Exit Long,2026-05-26 12:00
5,Entry Short,2026-05-26 12:05
5,Exit Short,2026-05-26 15:15
6,Entry Short,2026-05-27 09:20
6,Exit Short,2026-05-27 10:20
7,Entry Long,2026-05-27 10:20
7,Exit Long,2026-05-27 10:35
8,Entry Long,2026-05-27 10:50
8,Exit Long,2026-05-27 11:50
9,Entry Short,2026-05-27 12:05
9,Exit Short,2026-05-27 15:15
10,Entry Long,2026-05-29 10:05
10,Exit Long,2026-05-29 10:20
11,Entry Short,2026-05-29 10:50
11,Exit Short,2026-05-29 15:15
12,Entry Short,2026-06-01 09:20
12,Exit Short,2026-06-01 11:20
13,Entry Short,2026-06-01 11:25
13,Exit Short,2026-06-01 15:15
14,Entry Short,2026-06-02 09:20
14,Exit Short,2026-06-02 12:35
15,Entry Long,2026-06-02 12:45
15,Exit Long,2026-06-02 15:05
16,Entry Long,2026-06-02 15:10
16,Exit Long,2026-06-02 15:15
17,Entry Short,2026-06-03 09:20
17,Exit Short,2026-06-03 12:35
18,Entry Long,2026-06-03 12:40
18,Exit Long,2026-06-03 12:50
19,Entry Long,2026-06-03 13:05
19,Exit Long,2026-06-03 15:15
20,Entry Short,2026-06-04 09:25
20,Exit Short,2026-06-04 09:35
21,Entry Long,2026-06-04 10:05
21,Exit Long,2026-06-04 11:25
22,Entry Long,2026-06-04 11:40
22,Exit Long,2026-06-04 12:35
23,Entry Short,2026-06-04 12:45
23,Exit Short,2026-06-04 12:50
24,Entry Short,2026-06-04 13:05
24,Exit Short,2026-06-04 14:05
25,Entry Long,2026-06-04 14:15
25,Exit Long,2026-06-04 15:15
26,Entry Long,2026-06-05 09:20
26,Exit Long,2026-06-05 10:35
27,Entry Short,2026-06-05 10:40
27,Exit Short,2026-06-05 11:05
28,Entry Short,2026-06-05 11:20
28,Exit Short,2026-06-05 11:35
29,Entry Short,2026-06-05 11:50
29,Exit Short,2026-06-05 12:05
30,Entry Long,2026-06-05 12:20
30,Exit Long,2026-06-05 12:35
31,Entry Short,2026-06-05 12:40
31,Exit Short,2026-06-05 14:35
32,Entry Short,2026-06-08 09:20
32,Exit Short,2026-06-08 12:15
33,Entry Long,2026-06-08 12:50
33,Exit Long,2026-06-08 13:05
34,Entry Short,2026-06-08 13:35
34,Exit Short,2026-06-08 15:15
35,Entry Long,2026-06-09 09:25
35,Exit Long,2026-06-09 09:50
36,Entry Short,2026-06-09 10:20
36,Exit Short,2026-06-09 11:50
37,Entry Long,2026-06-09 12:00
37,Exit Long,2026-06-09 15:15
38,Entry Long,2026-06-10 09:20
38,Exit Long,2026-06-10 12:50
39,Entry Long,2026-06-10 13:00
39,Exit Long,2026-06-10 13:45
40,Entry Short,2026-06-10 14:05
40,Exit Short,2026-06-10 15:15
41,Entry Short,2026-06-11 09:20
41,Exit Short,2026-06-11 11:20
42,Entry Long,2026-06-11 11:20
42,Exit Long,2026-06-11 13:20
43,Entry Short,2026-06-11 13:30
43,Exit Short,2026-06-11 15:15
44,Entry Long,2026-06-12 09:20
44,Exit Long,2026-06-12 12:35
45,Entry Short,2026-06-12 12:40
45,Exit Short,2026-06-12 12:50
46,Entry Long,2026-06-12 13:35
46,Exit Long,2026-06-12 15:15
47,Entry Long,2026-06-15 09:20
47,Exit Long,2026-06-15 12:20
48,Entry Long,2026-06-15 14:40
48,Exit Long,2026-06-15 15:00
49,Entry Short,2026-06-15 15:05
49,Exit Short,2026-06-15 15:15
50,Entry Long,2026-06-16 09:30
50,Exit Long,2026-06-16 11:45
51,Entry Long,2026-06-16 13:10
51,Exit Long,2026-06-16 15:15
52,Entry Long,2026-06-17 09:20
52,Exit Long,2026-06-17 12:15
53,Entry Short,2026-06-17 12:50
53,Exit Short,2026-06-17 13:20
54,Entry Long,2026-06-17 14:00
54,Exit Long,2026-06-17 14:20
55,Entry Short,2026-06-17 14:30
55,Exit Short,2026-06-17 14:35
56,Entry Long,2026-06-17 15:00
56,Exit Long,2026-06-17 15:15
57,Entry Long,2026-06-18 09:20
57,Exit Long,2026-06-18 10:50
58,Entry Short,2026-06-18 11:05
58,Exit Short,2026-06-18 11:50
59,Entry Long,2026-06-18 12:15
59,Exit Long,2026-06-18 14:15
60,Entry Short,2026-06-18 14:20
60,Exit Short,2026-06-18 14:35
61,Entry Long,2026-06-18 15:05
61,Exit Long,2026-06-18 15:15
62,Entry Short,2026-06-19 09:25
62,Exit Short,2026-06-19 14:00
63,Entry Long,2026-06-19 14:05
63,Exit Long,2026-06-19 14:20
64,Entry Short,2026-06-19 15:00
64,Exit Short,2026-06-19 15:05
65,Entry Long,2026-06-19 15:05
65,Exit Long,2026-06-19 15:15
66,Entry Long,2026-06-22 09:20
66,Exit Long,2026-06-22 12:15
67,Entry Long,2026-06-22 14:30
67,Exit Long,2026-06-22 15:05
68,Entry Short,2026-06-22 15:10
68,Exit Short,2026-06-22 15:15
