Trade No,Type,Date/Time
1,Entry Long,2026-05-25 09:20
1,Exit Long,2026-05-25 12:50
2,Entry Long,2026-05-25 13:35
2,Exit Long,2026-05-25 15:15
3,Entry Long,2026-05-26 09:20
3,Exit Long,2026-05-26 12:15
4,Entry Short,2026-05-26 13:05
4,Exit Short,2026-05-26 15:15
5,Entry Short,2026-05-27 09:20
5,Exit Short,2026-05-27 10:20
6,Entry Short,2026-05-27 12:30
6,Exit Short,2026-05-27 15:15
7,Entry Short,2026-05-29 12:05
7,Exit Short,2026-05-29 15:15
8,Entry Short,2026-06-01 09:20
8,Exit Short,2026-06-01 15:15
9,Entry Short,2026-06-02 09:20
9,Exit Short,2026-06-02 12:45
10,Entry Long,2026-06-02 12:50
10,Exit Long,2026-06-02 14:45
11,Entry Short,2026-06-03 09:20
11,Exit Short,2026-06-03 12:35
12,Entry Long,2026-06-03 13:20
12,Exit Long,2026-06-03 15:15
13,Entry Long,2026-06-04 10:10
13,Exit Long,2026-06-04 13:15
14,Entry Long,2026-06-04 14:35
14,Exit Long,2026-06-04 15:15
15,Entry Long,2026-06-05 09:20
15,Exit Long,2026-06-05 10:40
16,Entry Short,2026-06-05 13:20
16,Exit Short,2026-06-05 14:45
17,Entry Short,2026-06-08 09:20
17,Exit Short,2026-06-08 15:15
18,Entry Short,2026-06-09 10:50
18,Exit Short,2026-06-09 12:20
19,Entry Long,2026-06-09 14:35
19,Exit Long,2026-06-09 15:15
20,Entry Long,2026-06-10 09:20
20,Exit Long,2026-06-10 13:55
21,Entry Short,2026-06-10 14:35
21,Exit Short,2026-06-10 15:15
22,Entry Short,2026-06-11 09:20
22,Exit Short,2026-06-11 11:25
23,Entry Long,2026-06-11 11:50
23,Exit Long,2026-06-11 13:25
24,Entry Short,2026-06-11 14:50
24,Exit Short,2026-06-11 15:15
25,Entry Long,2026-06-12 09:20
25,Exit Long,2026-06-12 12:45
26,Entry Long,2026-06-12 13:30
26,Exit Long,2026-06-12 15:15
27,Entry Long,2026-06-15 09:20
27,Exit Long,2026-06-15 12:15
28,Entry Long,2026-06-16 09:20
28,Exit Long,2026-06-16 15:15
29,Entry Long,2026-06-17 09:20
29,Exit Long,2026-06-17 12:15
30,Entry Long,2026-06-17 15:00
30,Exit Long,2026-06-17 15:15
31,Entry Long,2026-06-18 09:20
31,Exit Long,2026-06-18 11:15
32,Entry Long,2026-06-18 12:30
32,Exit Long,2026-06-18 15:15
33,Entry Short,2026-06-19 09:20
33,Exit Short,2026-06-19 14:05
34,Entry Short,2026-06-19 14:55
34,Exit Short,2026-06-19 15:05
35,Entry Long,2026-06-19 15:05
35,Exit Long,2026-06-19 15:15
36,Entry Long,2026-06-22 09:20
36,Exit Long,2026-06-22 12:15
37,Entry Long,2026-06-22 14:50
37,Exit Long,2026-06-22 15:15
